method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,1000,2965.7073605060577,0.000967321800952714,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.565478326616471e-10,0.0,0.011158014398091942,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.4236252808057178,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
CPI,1000,55.35278105735779,0.000967321800952714,0.0,0.03752074416801161,0.0,0.35059929726706995,0.0,0.8121207001147812,0.0,0.7875043761799267,0.0,0.5170039007927751,0.0,0.42753340943399565,1.0,0.34921992353687265,0.0,0.36192521981673476,0.0,0.45539384838352615,1.0,0.31130939560555737,0.0,0.6881384191995986,1.0,0.16049703149707834,0.0,0.9777484970760042,0.0,0.7702499840042054,0.0,0.8607317414858697,1.0,0.1766314004436383,0.0,0.09408728484078716,0.0,0.8138539969439882,0.0,0.20931570029081908,0.0,0.6251805073972708,0.0,0.990827046955438,0.0,0.14686036440706102,0.0,0.7072482718919364,0.0,0.3985315527367487,1.0,0.6400676828997809,0.0,0.4189417501221731,0.0,0.5387598184182257,0.0,0.5189464522481793,1.0,0.5812706534070311,1.0,0.8272951174442296,0.0,0.9431756463397951,0.0,0.8440273045130037,1.0,0.6808638345234821,1.0,0.20048038777118193,0.0,0.19993600925704336,0.0,0.825752626848302,0.0,0.9162754221292859,0.0,0.7061828968327077,0.0,0.439586233684892,0.0,0.9104742545812041,0.0,0.5395092219653346,1.0,0.5222011591547987,0.0,0.9205295670189141,0.0,0.07440730824111058,1.0,0.3773540452691353,1.0,0.856091354947579,0.0,0.665011643108468,0.0,0.015547083129672876,0.0,0.06276848666484268,0.0,0.4337847882134687
CPI_sqrt,1000,55.320878982543945,0.000967321800952714,0.0,0.5000038046309317,0.0,0.49942167926323744,0.0,0.5007022077147704,0.0,0.49966354690902015,0.0,0.49990346700444543,0.0,0.5000098157904505,1.0,0.4996961570102034,0.0,0.5008943057489351,0.0,0.4994985742335938,1.0,0.49879670559106204,0.0,0.5001366139846908,1.0,0.49874132396709125,0.0,0.5019539200263715,0.0,0.4999728359847619,0.0,0.49992065984274087,1.0,0.49936232677733705,0.0,0.49998303076282113,0.0,0.5003329393196336,0.0,0.4998617676435979,0.0,0.5014612753471043,0.0,0.5006359698183097,0.0,0.4994265128427467,0.0,0.5003624136978889,0.0,0.4993340898287294,1.0,0.49991016309544056,0.0,0.4999614766367598,0.0,0.5002106003924809,0.0,0.4995124304363759,1.0,0.5002285186683272,1.0,0.49994683971558895,0.0,0.5007236579004887,0.0,0.5002250190764798,1.0,0.5005534834913116,1.0,0.499580253665486,0.0,0.4995884733526969,0.0,0.5005359484141954,0.0,0.5002124468036429,0.0,0.5010459959747146,0.0,0.500015333926986,0.0,0.5008140107846529,0.0,0.49987984929415413,1.0,0.5000272822954335,0.0,0.5007430834932798,0.0,0.49943535953199114,1.0,0.5001159030325748,1.0,0.5015459940855385,0.0,0.499844996273549,0.0,0.4989479064831027,0.0,0.49950079448591816,0.0,0.49971039003167494
CPI_n,1000,55.34311056137085,0.000967321800952714,0.0,0.495258257721831,0.0,0.5000411211169895,0.0,0.507213555575326,0.0,0.4929541478673195,0.0,0.5042252035427381,0.0,0.5092874781378454,1.0,0.510685128637473,0.0,0.5209772565619669,0.0,0.49943263330729204,1.0,0.4970441868253202,0.0,0.5097600740330696,1.0,0.48541587462719904,0.0,0.528772591441572,0.0,0.5062608852224502,0.0,0.4960963072594631,1.0,0.505671227933532,0.0,0.49749915677242085,0.0,0.5166352000948563,0.0,0.49794624305054547,0.0,0.5264904045406006,0.0,0.5130436954825681,0.0,0.5055061854380297,0.0,0.5076818537702754,0.0,0.5024187039127912,1.0,0.49942897247503226,0.0,0.49237979038196483,0.0,0.5000145155961325,0.0,0.5020231804389504,1.0,0.4989172207335892,1.0,0.4959599739289218,0.0,0.5032431824682461,0.0,0.5033980326564387,1.0,0.5098113156667985,1.0,0.5050669651543037,0.0,0.49426311898900455,0.0,0.5019796127756162,0.0,0.49749218564140796,0.0,0.49362818643365314,0.0,0.5044237007109068,0.0,0.510202743310506,0.0,0.5033048572025928,1.0,0.4990219051431369,0.0,0.5149896239657532,0.0,0.4687687710601787,1.0,0.5016465628416655,1.0,0.5202402861459832,0.0,0.5082436080173176,0.0,0.49911797877451786,0.0,0.48171322539306627,0.0,0.49289783742812254
CPI_bt,1000,56.494351625442505,0.000967321800952714,0.0,0.4900471421585382,0.0,0.4891820874689617,0.0,0.5212612830367654,0.0,0.4905549554596152,0.0,0.5103567713933446,0.0,0.5007606608002376,1.0,0.507062269104209,0.0,0.527935528521044,0.0,0.5022023871985287,1.0,0.5040109481323478,0.0,0.5017445589870284,1.0,0.4959177804754022,0.0,0.5235691376212243,0.0,0.516150666515616,0.0,0.4922296768709868,1.0,0.4959259902414797,0.0,0.4881872605351048,0.0,0.5059698969021278,0.0,0.4971617955867781,0.0,0.5164151874760862,0.0,0.5034087134397428,0.0,0.5032699323628169,0.0,0.5031315482450347,0.0,0.5041068391798226,1.0,0.49870985383180666,0.0,0.4850437512176037,0.0,0.5042090295099824,0.0,0.48387173681698975,1.0,0.4889775091221789,1.0,0.5109082527911591,0.0,0.5023170388471485,0.0,0.5197228766421268,1.0,0.49183969281731404,1.0,0.5002453196114468,0.0,0.4936159790914925,0.0,0.5116076865761644,0.0,0.5036404501392427,0.0,0.5083391885607216,0.0,0.5078102728808781,0.0,0.5047649996253281,0.0,0.50589134601604,1.0,0.49934814788685805,0.0,0.5074247971002476,0.0,0.4372560257363516,1.0,0.5020195679183361,1.0,0.5112915768655111,0.0,0.4983226205118172,0.0,0.5072647559919901,0.0,0.49111744165281984,0.0,0.4905202456398597
CPI_sqd,1000,56.419596672058105,0.000967321800952714,0.0,6.14703831411912e-17,0.0,0.7424413251316551,0.0,1.0,0.0,2.67599744670749e-10,0.0,0.9999999983147725,0.0,2.574826780651882e-07,1.0,0.9999999999880581,0.0,1.0,0.0,0.9999999983762702,1.0,9.084798480972303e-30,0.0,0.9999996545349473,1.0,1.9051495561644093e-11,0.0,1.0,0.0,0.7440881592885606,0.0,0.00012850127956641504,1.0,1.0,0.0,0.8616454421602299,0.0,0.9249795201694742,0.0,0.00047815200433383914,0.0,0.002744415355735669,0.0,1.0,0.0,0.2812972432097499,0.0,0.7268899344020758,0.0,1.0,1.0,0.7339653978685636,0.0,3.2908950179885775e-25,0.0,0.9999999476515803,0.0,0.9999999999998787,1.0,0.9922195484294701,1.0,1.2213689329273759e-30,0.0,0.9999999997225731,0.0,0.9419850622943445,1.0,0.9998845752102921,1.0,0.05916357052772071,0.0,2.2406228757994945e-43,0.0,1.0,0.0,0.9999615825488035,0.0,1.0,0.0,0.9999999991824745,0.0,0.9999999999999878,0.0,0.43555046842494133,1.0,0.0026988209670069916,0.0,1.0,0.0,0.0,1.0,0.9818327513404518,1.0,1.0,0.0,0.9792452245081749,0.0,7.194785056048375e-50,0.0,9.314350439103097e-18,0.0,1.336098568746496e-14
S-CPI,1000,71.78259921073914,0.000967321800952714,0.0,0.10076494050840645,0.0,0.29748523122878734,0.0,0.579474436551059,0.0,0.22657535947898488,0.0,0.7218595653089969,0.0,0.6070058002500488,1.0,0.3614946140449281,0.0,0.9230865645802945,0.0,0.41223114330839067,1.0,0.23474516891115121,0.0,0.8451832005418567,1.0,0.11349816364164855,0.0,0.9937721321664402,0.0,0.6938821705124998,0.0,0.2985177450857722,1.0,0.5146394651401013,0.0,0.2203878677643789,0.0,0.8552626638708615,0.0,0.3059584013894874,0.0,0.9156417103025745,0.0,0.8976656177434934,0.0,0.39464577485370056,0.0,0.8994707291020293,0.0,0.2720360614377779,1.0,0.2955057572915669,0.0,0.23823372932606174,0.0,0.8527953487078108,0.0,0.30490276856215115,1.0,0.4956489588606545,1.0,0.3643880023805881,0.0,0.9557831747320715,0.0,0.8005298302706649,1.0,0.6054710025407796,1.0,0.739724233192001,0.0,0.15775708731158444,0.0,0.8411683069704372,0.0,0.8834987420191418,0.0,0.7913638718486624,0.0,0.6273658855154405,0.0,0.9235779856415778,0.0,0.7968864928988681,1.0,0.7803743391648231,0.0,0.9814900762551031,0.0,0.19367925658414692,1.0,0.5100687690129901,1.0,0.8786733193405927,0.0,0.3754721749839147,0.0,0.09395716829463208,0.0,0.004224951640829879,0.0,0.34492796378921253
S-CPI_sqrt,1000,71.89722204208374,0.000967321800952714,0.0,0.499364491430665,0.0,0.4998116806712215,0.0,0.5003616746404425,0.0,0.49958773019400254,0.0,0.5002944576888028,0.0,0.4996971048325036,1.0,0.4997533653455098,0.0,0.5021636287458632,0.0,0.5000420737552448,1.0,0.4995828855868907,0.0,0.5007148436103249,1.0,0.4991963846870319,0.0,0.5031742600022765,0.0,0.5006895159762722,0.0,0.49980468104207265,1.0,0.5002144398007566,0.0,0.4995605324071222,0.0,0.5006777839130351,0.0,0.4997121294159997,0.0,0.5012756095438994,0.0,0.5019573777854778,0.0,0.49978008437990995,0.0,0.5002912598519009,0.0,0.4993788950815531,1.0,0.49986028339742483,0.0,0.4995516653959791,0.0,0.5003073889577527,0.0,0.5003405815310679,1.0,0.5003277875024957,1.0,0.4992971819557913,0.0,0.50117840491972,0.0,0.5014451523218163,1.0,0.500742580641885,1.0,0.5000019135704853,0.0,0.49951830929821733,0.0,0.5009080982413696,0.0,0.5005257839615168,0.0,0.5014987634275643,0.0,0.5007165921364476,0.0,0.5008510564736537,0.0,0.5002928449939266,1.0,0.5005760832921998,0.0,0.502981125705979,0.0,0.497595549347867,1.0,0.5002135032204661,1.0,0.5006003659468049,0.0,0.5001854779808474,0.0,0.4987092560009084,0.0,0.4984050911211966,0.0,0.4997994927946858
S-CPI_n,1000,71.04385113716125,0.000967321800952714,0.0,0.48440304987587846,0.0,0.4931302212342514,0.0,0.5145954268671331,0.0,0.49651963141042366,0.0,0.5027220332966164,0.0,0.4964400114619493,1.0,0.4944701940533033,0.0,0.5455448516435517,0.0,0.4985765962105435,1.0,0.4917490136394455,0.0,0.5172495647107557,1.0,0.4834362105340393,0.0,0.5623404606585382,0.0,0.511820088199849,0.0,0.5004209199616465,1.0,0.5035609781694272,0.0,0.4999485995164916,0.0,0.515017640278149,0.0,0.49831063557650057,0.0,0.5268703715469686,0.0,0.529588239009676,0.0,0.49957131500758734,0.0,0.5045211441008177,0.0,0.48858615590219573,1.0,0.4970148744621962,0.0,0.49412489014601996,0.0,0.5046450921710197,0.0,0.5032578913214847,1.0,0.5018851418598433,1.0,0.4986567217505944,0.0,0.5180633170783362,0.0,0.5246789082313307,1.0,0.5159897143692125,1.0,0.5062793372470863,0.0,0.49005441079708645,0.0,0.511281928088453,0.0,0.5015967035061717,0.0,0.527599730583027,0.0,0.516219378629966,0.0,0.5172864855360393,0.0,0.5089518247826311,1.0,0.5016402339149227,0.0,0.5519055238595337,0.0,0.45503873291439073,1.0,0.5008628292349347,1.0,0.5108014037987337,0.0,0.501107498830805,0.0,0.47898049556898403,0.0,0.47438714497053364,0.0,0.4925751688605796
S-CPI_bt,1000,71.93233752250671,0.000967321800952714,0.0,0.48722104888396517,0.0,0.499973796732539,0.0,0.5148766149270964,0.0,0.49354872217084755,0.0,0.504165783759565,0.0,0.5016421809140642,1.0,0.4925369238962483,0.0,0.5497696434874546,0.0,0.5000737134322817,1.0,0.48073887144215877,0.0,0.5195602377713501,1.0,0.4773363635920101,0.0,0.5477892832056819,0.0,0.5228905789593852,0.0,0.49644679974858696,1.0,0.5031462508957514,0.0,0.49432529447758483,0.0,0.5140635511532093,0.0,0.4980076239484996,0.0,0.5233459607803959,0.0,0.5262433117245098,0.0,0.4941615161169734,0.0,0.5070584062726808,0.0,0.4773913571984876,1.0,0.496519813130793,0.0,0.4907942815871119,0.0,0.5031803512679628,0.0,0.49155613353923727,1.0,0.5161644856738807,1.0,0.48330137654432603,0.0,0.5165023190474373,0.0,0.5170134508256747,1.0,0.5097002728177772,1.0,0.5049669106831014,0.0,0.486916527501138,0.0,0.5163921444529974,0.0,0.5106723685690705,0.0,0.5224504607014727,0.0,0.5137487920307134,0.0,0.5131591161725735,0.0,0.5047122709189473,1.0,0.5010417997537719,0.0,0.5505800501587679,0.0,0.4459497365607718,1.0,0.5011881688999803,1.0,0.5137634480085344,0.0,0.5061915049254603,0.0,0.47591929398432864,0.0,0.47048110541253685,0.0,0.4982236727644485
